,smiles_string,prop,value
61,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)C(C)(C)C2(C)C)c1ccccc1,p_exp_N2,-6
62,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)C(C)(C)C2(C)C)c1ccccc1,p_exp_O2,-5.903089987
63,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,p_exp_CH4,-5.536107011
64,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,p_exp_CO2,-5.442492798
65,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,p_exp_H2,-5.54515514
66,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,p_exp_He,-5.863279433
67,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,p_exp_N2,-5.882728704
68,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,p_exp_O2,-5.818156412
69,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,p_exp_CH4,-5.649751982
70,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,p_exp_CO2,-5.484126156
71,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,p_exp_H2,-5.684029655
72,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,p_exp_He,-6.036212173
73,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,p_exp_N2,-6.036212173
74,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,p_exp_O2,-5.943095149
75,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,p_exp_CH4,-5.995678626
76,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,p_exp_CO2,-5.772113295
77,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,p_exp_H2,-5.966576245
78,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,p_exp_He,-6.301029996
79,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,p_exp_N2,-6.387216143
80,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,p_exp_O2,-6.244125144
81,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,p_exp_CH4,-5.643974143
82,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,p_exp_CO2,-5.453457337
83,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,p_exp_H2,-5.68613278
84,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,p_exp_He,-6.031517051
85,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,p_exp_N2,-6.036212173
86,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,p_exp_O2,-5.931814138
87,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,p_exp_CH4,-5.455931956
88,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,p_exp_CO2,-5.354577731
89,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,p_exp_H2,-5.434152181
90,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,p_exp_He,-5.749579998
91,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,p_exp_N2,-5.779891912
92,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,p_exp_O2,-5.728158393
93,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,p_exp_CH4,-5.46470588
94,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,p_exp_CO2,-5.327902142
95,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,p_exp_H2,-5.477555766
96,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,p_exp_He,-5.801342913
97,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,p_exp_N2,-5.806875402
98,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,p_exp_O2,-5.747146969
99,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc([Si](C)(C)C)cc1,p_exp_CH4,-7.327902142
100,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc([Si](C)(C)C)cc1,p_exp_CO2,-6.698970004
101,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc([Si](C)(C)C)cc1,p_exp_H2,-6.958607315
102,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc([Si](C)(C)C)cc1,p_exp_He,-7.27572413
103,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc([Si](C)(C)C)cc1,p_exp_N2,-7.769551079
104,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc([Si](C)(C)C)cc1,p_exp_O2,-7.346787486
105,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,p_exp_CH4,-5.565431096
106,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,p_exp_CO2,-5.424812155
107,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,p_exp_H2,-5.610833916
108,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,p_exp_He,-5.962573502
109,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,p_exp_N2,-5.958607315
110,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,p_exp_O2,-5.863279433
111,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,p_exp_CH4,-6.180456064
112,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,p_exp_CO2,-5.943095149
113,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,p_exp_H2,-6.113509275
114,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,p_exp_He,-6.455931956
115,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,p_exp_N2,-6.568636236
116,[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,p_exp_O2,-6.408935393
117,[*]/C(=C(/[*])c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,p_exp_CH4,-8.22184875
118,[*]/C(=C(/[*])c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,p_exp_CO2,-7.408935393
119,[*]/C(=C(/[*])c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,p_exp_H2,-7.443697499
120,[*]/C(=C(/[*])c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,p_exp_He,-7.698970004
121,[*]/C(=C(/[*])c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,p_exp_N2,-8.522878745
122,[*]/C(=C(/[*])c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,p_exp_O2,-8.065501549
